t,Xacceleration
1.0259600E+000,-3.7489984E-005
1.0274600E+000,-3.8433169E-005
1.0289600E+000,-3.9376354E-005
1.0304600E+000,-3.9398372E-005
1.0319600E+000,-3.7337754E-005
1.0334600E+000,-3.5277137E-005
1.0349600E+000,-3.3216519E-005
1.0364600E+000,-2.9988379E-005
1.0379600E+000,-2.6728252E-005
1.0394600E+000,-2.3468125E-005
1.0409600E+000,-2.0751819E-005
1.0424600E+000,-1.8341413E-005
1.0439600E+000,-1.5931007E-005
1.0454600E+000,-1.4163022E-005
1.0469600E+000,-1.3847467E-005
1.0484600E+000,-1.3531912E-005
1.0499600E+000,-1.3216357E-005
1.0514600E+000,-1.4705066E-005
1.0529600E+000,-1.6243207E-005
1.0544600E+000,-1.7781348E-005
1.0559600E+000,-1.9443949E-005
1.0574600E+000,-2.1176558E-005
1.0589600E+000,-2.2909166E-005
1.0604600E+000,-2.4038148E-005
1.0619600E+000,-2.3802408E-005
1.0634600E+000,-2.3566668E-005
1.0649600E+000,-2.3330927E-005
1.0664600E+000,-1.9896532E-005
1.0679600E+000,-1.6374502E-005
1.0694600E+000,-1.2852472E-005
1.0709600E+000,-7.5611782E-006
1.0724600E+000,-1.2746737E-006
1.0739600E+000,5.0118307E-006
1.0754600E+000,1.1426084E-005
1.0769600E+000,1.8129161E-005
1.0784600E+000,2.4832238E-005
1.0799600E+000,3.1535314E-005
1.0814600E+000,3.5648363E-005
1.0829600E+000,3.9690453E-005
1.0844600E+000,4.3732542E-005
1.0859600E+000,4.4681582E-005
1.0874600E+000,4.3890782E-005
1.0889600E+000,4.3099983E-005
1.0904600E+000,4.0842619E-005
1.0919600E+000,3.5269544E-005
1.0934600E+000,2.9696470E-005
1.0949600E+000,2.4123395E-005
1.0964600E+000,1.6350541E-005
1.0979600E+000,8.5174178E-006
1.0994600E+000,6.8429500E-007
1.1009600E+000,-6.0737053E-006
1.1024600E+000,-1.2226949E-005
1.1039600E+000,-1.8380193E-005
1.1054600E+000,-2.2947468E-005
1.1069600E+000,-2.3929075E-005
1.1084600E+000,-2.4910681E-005
1.1099600E+000,-2.5892288E-005
1.1114600E+000,-2.0523582E-005
1.1129600E+000,-1.4980895E-005
1.1144600E+000,-9.4382079E-006
1.1159600E+000,-6.4417060E-007
1.1174600E+000,9.9787513E-006
1.1189600E+000,2.0601673E-005
