sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
140,22.97378,40.57709,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
141,22.97615,40.57709,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
142,22.97853,40.57709,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
143,22.98091,40.57709,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
144,22.98328,40.57709,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
145,22.98566,40.57709,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
146,22.98804,40.57709,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
147,22.99041,40.57709,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
148,22.99279,40.57709,0.00000,CENOZOIC,2,4.73966E-02,4.83269E+02,-1.50000E+02,0
149,22.99517,40.57709,0.00000,CENOZOIC,2,4.73966E-02,4.83269E+02,-1.50000E+02,0
150,22.99755,40.57709,0.00000,CENOZOIC,2,4.73966E-02,4.83269E+02,-1.50000E+02,0
151,22.99992,40.57709,0.00000,CENOZOIC,2,4.73966E-02,4.83269E+02,-1.50000E+02,0
152,23.00230,40.57709,0.00000,CENOZOIC,2,4.77927E-02,4.91189E+02,-1.50000E+02,0
153,22.93337,40.57932,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
154,22.93574,40.57932,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
155,22.93812,40.57932,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
156,22.94050,40.57932,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
157,22.94287,40.57932,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
158,22.94525,40.57932,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
159,22.94763,40.57932,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
160,22.95000,40.57932,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
161,22.95238,40.57932,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
162,22.95476,40.57932,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
163,22.95714,40.57932,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
164,22.95951,40.57932,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
165,22.96189,40.57932,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
166,22.96427,40.57932,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
167,22.96664,40.57932,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
168,22.96902,40.57932,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
169,22.97140,40.57932,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
170,22.97378,40.57932,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
171,22.97615,40.57932,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
172,22.97853,40.57932,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
173,22.98091,40.57932,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
174,22.98328,40.57932,0.00000,CENOZOIC,2,2.61254E-02,4.04006E+02,-1.50000E+02,0
175,22.98566,40.57932,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
176,22.98804,40.57932,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
177,22.99041,40.57932,0.00000,CENOZOIC,2,4.82644E-02,4.60925E+02,-1.50000E+02,0
178,22.99279,40.57932,0.00000,CENOZOIC,2,4.73966E-02,4.83269E+02,-1.50000E+02,0
