sids,lon,lat,depth,vs30,vs30measured,region,xvf,slope,geology
157,22.95781,40.62902,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
158,22.95801,40.62892,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
159,22.95821,40.62880,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
160,22.95841,40.62869,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
161,22.95860,40.62856,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
162,22.95879,40.62842,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
163,22.95897,40.62826,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
164,22.95914,40.62809,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
165,22.95930,40.62789,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
166,22.95945,40.62769,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
167,22.95960,40.62748,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
168,22.95975,40.62728,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
169,22.95991,40.62708,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
170,22.96006,40.62688,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
171,22.96021,40.62667,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
172,22.96037,40.62647,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
173,22.96052,40.62627,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
174,22.96067,40.62606,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
175,22.96082,40.62586,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
176,22.96098,40.62566,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
177,22.96113,40.62545,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
178,22.96128,40.62525,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
179,22.96143,40.62505,0.00000,5.49940E+02,0,2,-1.50000E+02,6.90543E-02,CENOZOIC
180,22.96159,40.62485,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
181,22.96174,40.62464,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
182,22.96189,40.62443,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
183,22.96201,40.62420,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
184,22.96212,40.62395,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
185,22.96221,40.62369,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
186,22.96226,40.62341,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
187,22.96232,40.62313,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
188,22.96237,40.62286,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
189,22.96242,40.62258,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
190,22.96248,40.62230,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
191,22.96253,40.62202,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
192,22.96258,40.62175,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
193,22.96264,40.62147,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
194,22.96269,40.62119,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
195,22.96274,40.62091,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
196,22.96280,40.62064,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
197,22.96285,40.62036,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
198,22.96290,40.62008,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
199,22.96296,40.61980,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
200,22.96301,40.61952,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
201,22.96306,40.61925,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
202,22.96311,40.61897,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
203,22.96311,40.61869,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
204,22.96306,40.61841,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
205,22.96297,40.61815,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
206,22.96285,40.61791,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
207,22.96272,40.61768,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
208,22.96257,40.61748,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
209,22.96240,40.61731,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
210,22.96221,40.61716,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
211,22.96202,40.61702,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
212,22.96183,40.61689,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
213,22.96164,40.61675,0.00000,4.48906E+02,0,2,-1.50000E+02,3.82132E-02,CENOZOIC
214,22.96145,40.61661,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
215,22.96126,40.61648,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
216,22.96107,40.61634,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
217,22.96088,40.61621,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
218,22.96069,40.61607,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
219,22.96050,40.61593,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
220,22.96031,40.61580,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
221,22.96012,40.61566,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
222,22.95992,40.61553,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
223,22.95973,40.61539,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
224,22.95954,40.61525,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
225,22.95935,40.61512,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
226,22.95916,40.61498,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
227,22.95897,40.61485,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
228,22.95878,40.61471,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
229,22.95859,40.61457,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
230,22.95840,40.61444,0.00000,3.91938E+02,0,2,-1.50000E+02,2.66517E-02,CENOZOIC
231,22.95821,40.61430,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
232,22.95802,40.61416,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
233,22.95783,40.61403,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
234,22.95764,40.61389,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
235,22.95745,40.61374,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
236,22.95733,40.61351,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
237,22.95724,40.61326,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
238,22.95721,40.61297,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
239,22.95723,40.61269,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
240,22.95725,40.61240,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
241,22.95727,40.61212,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
242,22.95729,40.61183,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
243,22.95731,40.61155,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
244,22.95734,40.61126,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
245,22.95736,40.61098,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
246,22.95738,40.61069,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
247,22.95740,40.61041,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
248,22.95742,40.61012,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
249,22.95745,40.60984,0.00000,3.61443E+02,0,2,-1.50000E+02,2.42215E-02,UNKNOWN
