t,Xacceleration
1.4061700E+000,-1.8219793E-005
1.4081700E+000,-3.3698022E-005
1.4101700E+000,-4.5592268E-005
1.4121700E+000,-5.3968786E-005
1.4141700E+000,-5.9183271E-005
1.4161700E+000,-6.1820458E-005
1.4181700E+000,-6.2611206E-005
1.4201700E+000,-6.2335537E-005
1.4221700E+000,-6.1721439E-005
1.4241700E+000,-6.1350496E-005
1.4261700E+000,-6.1580386E-005
1.4281700E+000,-6.2492713E-005
1.4301700E+000,-6.3872602E-005
1.4321700E+000,-6.5223916E-005
1.4341700E+000,-6.5820042E-005
1.4361700E+000,-6.4785071E-005
1.4381700E+000,-6.1197215E-005
1.4401700E+000,-5.4204699E-005
1.4421700E+000,-4.3142321E-005
1.4441700E+000,-2.7635029E-005
1.4461700E+000,-7.6764929E-006
1.4481700E+000,1.6326120E-005
1.4501700E+000,4.3546846E-005
1.4521700E+000,7.2778426E-005
1.4541700E+000,1.0251097E-004
1.4561700E+000,1.3104478E-004
1.4581700E+000,1.5662622E-004
1.4601700E+000,1.7759335E-004
1.4621700E+000,1.9251555E-004
1.4641700E+000,2.0031643E-004
1.4661700E+000,2.0036576E-004
1.4681700E+000,1.9253150E-004
1.4701700E+000,1.7718831E-004
1.4721700E+000,1.5518123E-004
1.4741700E+000,1.2774852E-004
1.4761700E+000,9.6412103E-005
1.4781700E+000,6.2846555E-005
1.4801700E+000,2.8739555E-005
1.4821700E+000,-4.3416976E-006
1.4841700E+000,-3.5065695E-005
1.4861700E+000,-6.2421965E-005
1.4881700E+000,-8.5771417E-005
1.4901700E+000,-1.0485696E-004
1.4921700E+000,-1.1977486E-004
1.4941700E+000,-1.3091263E-004
1.4961700E+000,-1.3886139E-004
1.4981700E+000,-1.4431276E-004
1.5001700E+000,-1.4795323E-004
1.5021700E+000,-1.5036654E-004
1.5041700E+000,-1.5195398E-004
1.5061700E+000,-1.5288140E-004
