KP,Er
918.8459,-15.0916774588508
926.3458,-15.2122774211633
933.8457,-15.3328773834758
941.3456,-15.4534773457883
948.8455,-15.5740572081071
956.3455,-15.6946571704196
963.8454,-15.8152571327321
971.3453,-15.9358570950447
978.8452,-16.0564570573572
986.3451,-16.1770570196697
993.845,-16.2912852839734
1001.345,-16.3836246551173
1008.8449,-16.4533314333339
1016.3448,-16.5004458186107
1023.8447,-16.5249276109601
1031.3446,-16.5268170103697
1038.8446,-16.5060738168519
1046.3445,-16.4627382303943
1053.8444,-16.3967901510031
1061.3443,-16.3082094786845
1068.8442,-16.197116813401
1076.3441,-16.0764967510948
1083.8441,-15.9558967887823
1091.344,-15.8352968264697
1098.8439,-15.7146767641635
1106.3438,-15.594076801851
1113.8437,-15.4734768395385
1121.3436,-15.352876877226
1128.8436,-15.2322568149197
1136.3435,-15.1116568526072
1143.8434,-14.9910568902947
1151.3433,-14.8704368279885
1158.8432,-14.749836865676
1166.3431,-14.6292369033635
1173.8431,-14.5086168410572
1181.343,-14.3880168787447
1188.8429,-14.2674169164322
1196.3428,-14.1468169541197
1203.8427,-14.0261968918135
1211.3427,-13.905596929501
1218.8426,-13.7849969671884
1226.3425,-13.6643769048822
1233.8424,-13.5437769425697
1241.3423,-13.4231769802572
1248.8422,-13.302556917951
1256.3422,-13.1819569556385
1263.8421,-13.0613569933259
1271.342,-12.9407369310197
1278.8419,-12.8201369687072
1286.3418,-12.6995370063947
1293.8417,-12.5789370440822
1301.3417,-12.4583169817759
1308.8416,-12.3452947170954
1316.3415,-12.2545231454615
1323.8414,-12.1863640667612
1331.3413,-12.1408174809945
1338.8412,-12.1178833881614
1346.3412,-12.1065670916978
1353.8411,-12.0952507952341
1361.341,-12.0839545987642
1368.8409,-12.0726383023005
1376.3408,-12.0613421058306
1383.8407,-12.0500258093669
1391.3407,-12.038729612897
1398.8406,-12.0274133164333
1406.3405,-12.0160970199697
1413.8404,-12.0048008234997
1421.3403,-11.9934845270361
1428.8403,-11.9821883305661
1436.3402,-11.9708720341025
1443.8401,-11.9595758376326
1451.34,-11.9480585412317
1458.8399,-11.9301293468346
1466.3398,-11.9027531553896
1473.8398,-11.8659701668843
1481.3397,-11.8199612812621
1488.8396,-11.7709775965695
1496.3395,-11.7219939118769
1503.8394,-11.6729901271906
1511.3393,-11.624006442498
1518.8393,-11.5750227578054
1526.3392,-11.5260189731191
1533.8391,-11.4770352884265
1541.339,-11.4280516037339
1548.8389,-11.3790478190476
1556.3388,-11.330064134355
1563.8388,-11.2810804496624
1571.3387,-11.232076664976
1578.8386,-11.1830929802834
1586.3385,-11.1341092955908
1593.8384,-11.0851055109045
1601.3384,-11.0361218262119
1608.8383,-10.9871381415193
1616.3382,-10.938134356833
1623.8381,-10.8891506721404
1631.338,-10.8401669874478
1638.8379,-10.7911632027615
1646.3379,-10.7421795180689
1653.8378,-10.6931958333763
1661.3377,-10.64419204869
1668.8376,-10.5952083639974
1676.3375,-10.5462246793048
1683.8374,-10.4972208946185
1691.3374,-10.4482372099259
1698.8373,-10.3992535252333
1706.3372,-10.3502698405407
1713.8371,-10.3012660558544
1721.337,-10.2522823711618
1728.8369,-10.2032986864692
1736.3369,-10.1542949017828
1743.8368,-10.1053112170902
1751.3367,-10.0563275323976
