lon,lat,PGA-0.0004
22.95770,40.60671,9.891040E-01
22.95775,40.60643,9.950715E-01
22.95781,40.60616,1.000803E+00
22.95789,40.60589,1.005642E+00
22.95796,40.60562,1.008929E+00
22.95804,40.60535,1.010588E+00
22.95811,40.60508,1.011040E+00
22.95819,40.60481,1.011247E+00
22.95827,40.60455,1.012395E+00
22.95834,40.60428,1.015482E+00
22.95842,40.60401,1.021275E+00
22.95849,40.60374,1.029744E+00
22.95857,40.60347,1.040118E+00
22.95865,40.60320,1.050828E+00
22.95872,40.60294,1.059933E+00
22.95878,40.60266,1.065051E+00
22.95879,40.60238,1.064197E+00
22.95873,40.60210,1.056965E+00
22.95866,40.60183,1.046337E+00
22.95859,40.60156,1.034439E+00
22.95852,40.60129,1.023391E+00
22.95846,40.60101,1.014761E+00
22.95839,40.60074,1.009360E+00
22.95831,40.60047,1.006902E+00
22.95820,40.60023,1.005481E+00
22.95804,40.60004,1.003790E+00
