sids,lon,lat,depth,vs30,vs30measured,slope,xvf,region,geology
153,22.95775,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
154,22.95945,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
155,22.96115,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
156,22.96285,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
157,22.96454,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
158,22.96624,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
159,22.96794,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
160,22.96963,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
161,22.97133,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
162,22.97303,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
163,22.94248,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
164,22.94418,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
165,22.94588,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
166,22.94757,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
167,22.94927,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
168,22.95097,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
169,22.95266,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
170,22.95436,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
171,22.95606,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
172,22.95775,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
173,22.95945,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
174,22.96115,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
175,22.96285,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
176,22.96454,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
177,22.96624,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
178,22.96794,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
179,22.96963,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
180,22.97133,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
181,22.97303,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
182,22.94248,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
183,22.94418,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
184,22.94588,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
185,22.94757,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
186,22.94927,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
187,22.95097,40.59826,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
188,22.95266,40.59826,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
189,22.95436,40.59826,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
190,22.95606,40.59826,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
191,22.95775,40.59826,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
192,22.95945,40.59826,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
193,22.96115,40.59826,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
194,22.96285,40.59826,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
195,22.96454,40.59826,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
196,22.96624,40.59826,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
197,22.96794,40.59826,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
198,22.96963,40.59826,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
199,22.97133,40.59826,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
200,22.97303,40.59826,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
201,22.95097,40.60069,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
202,22.95266,40.60069,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
203,22.95436,40.60069,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
204,22.95606,40.60069,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
205,22.95775,40.60069,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
206,22.95945,40.60069,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
207,22.96115,40.60069,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
208,22.96285,40.60069,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
209,22.96454,40.60069,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
210,22.96624,40.60069,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
211,22.96794,40.60069,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
212,22.96963,40.60069,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
213,22.97133,40.60069,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
214,22.97303,40.60069,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
215,22.95097,40.60312,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
216,22.95266,40.60312,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
217,22.95436,40.60312,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
218,22.95606,40.60312,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
219,22.95775,40.60312,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
220,22.95945,40.60312,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
221,22.96115,40.60312,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
222,22.96285,40.60312,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
223,22.96454,40.60312,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
224,22.96624,40.60312,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
225,22.96794,40.60312,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
226,22.96963,40.60312,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
227,22.97133,40.60312,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
228,22.97303,40.60312,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
229,22.95097,40.60555,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
230,22.95266,40.60555,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
231,22.95436,40.60555,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
232,22.95606,40.60555,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
233,22.95775,40.60555,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
234,22.95945,40.60555,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
235,22.96115,40.60555,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
236,22.96285,40.60555,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
237,22.96454,40.60555,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
238,22.96624,40.60555,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
239,22.96794,40.60555,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
240,22.96963,40.60555,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
241,22.97133,40.60555,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
242,22.97303,40.60555,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
243,22.95097,40.60799,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
244,22.95266,40.60799,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
245,22.95436,40.60799,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
246,22.95606,40.60799,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
247,22.95775,40.60799,0.00000,3.51231E+02,0,2.20586E-02,-1.50000E+02,2,UNKNOWN
248,22.95945,40.60799,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
249,22.96115,40.60799,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
250,22.96285,40.60799,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
251,22.96454,40.60799,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
252,22.96624,40.60799,0.00000,3.61462E+02,0,1.56729E-02,-1.50000E+02,2,CENOZOIC
253,22.96794,40.60799,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
254,22.96963,40.60799,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
255,22.97133,40.60799,0.00000,3.81516E+02,0,1.94085E-02,-1.50000E+02,2,CENOZOIC
