#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.95880,40.60252,0.00000,9.340896E-01,9.022709E-01,8.531864E-01,7.927326E-01,7.200267E-01,6.358987E-01,5.432214E-01,4.462304E-01,3.505953E-01,2.579039E-01,1.813217E-01,1.228558E-01,8.042204E-02,4.998225E-02,3.041469E-02,1.805424E-02,1.035455E-02,5.733852E-03,2.766823E-03,1.220518E-03,4.839984E-04,1.670407E-04,4.845197E-05,1.099536E-05,1.660435E-06
22.95878,40.60230,0.00000,9.340985E-01,9.022819E-01,8.532016E-01,7.927479E-01,7.200427E-01,6.359134E-01,5.432326E-01,4.462383E-01,3.505988E-01,2.579241E-01,1.813368E-01,1.228667E-01,8.042938E-02,4.997865E-02,3.041175E-02,1.805094E-02,1.035057E-02,5.729406E-03,2.767265E-03,1.220759E-03,4.841158E-04,1.671044E-04,4.847649E-05,1.100492E-05,1.662437E-06
22.95847,40.60108,0.00000,9.357250E-01,9.023520E-01,8.532963E-01,7.928471E-01,7.201443E-01,6.360039E-01,5.433020E-01,4.462780E-01,3.506097E-01,2.580315E-01,1.814161E-01,1.229226E-01,8.044475E-02,4.995275E-02,3.039203E-02,1.803032E-02,1.032648E-02,5.702969E-03,2.769542E-03,1.221993E-03,4.847164E-04,1.674328E-04,4.859973E-05,1.105385E-05,1.673173E-06
22.95838,40.60071,0.00000,9.357386E-01,9.023704E-01,8.533216E-01,7.928712E-01,7.201684E-01,6.360259E-01,5.433177E-01,4.462872E-01,3.506116E-01,2.580637E-01,1.814402E-01,1.229397E-01,8.043963E-02,4.994514E-02,3.038605E-02,1.802406E-02,1.031912E-02,5.694886E-03,2.770249E-03,1.222376E-03,4.849067E-04,1.675367E-04,4.863835E-05,1.106911E-05,1.676984E-06
22.95827,40.60027,0.00000,9.286836E-01,8.893937E-01,8.350464E-01,7.694506E-01,6.923627E-01,6.047202E-01,5.098448E-01,4.125557E-01,3.188945E-01,2.289865E-01,1.585674E-01,1.061030E-01,6.766293E-02,4.191637E-02,2.544159E-02,1.489521E-02,8.415200E-03,4.499975E-03,2.104412E-03,8.972082E-04,3.404733E-04,1.111550E-04,3.001832E-05,6.092786E-06,6.643224E-07
22.95793,40.59990,0.00000,9.351264E-01,9.007331E-01,8.509800E-01,7.898671E-01,7.165667E-01,6.319311E-01,5.388919E-01,4.417686E-01,3.463039E-01,2.545701E-01,1.784932E-01,1.206548E-01,7.873813E-02,4.885906E-02,2.966634E-02,1.756069E-02,1.002802E-02,5.515025E-03,2.673492E-03,1.174552E-03,4.633782E-04,1.590014E-04,4.575624E-05,1.026392E-05,1.506285E-06
22.95772,40.59974,0.00000,9.351357E-01,9.007375E-01,8.509865E-01,7.898688E-01,7.165648E-01,6.319252E-01,5.388822E-01,4.417552E-01,3.462895E-01,2.545802E-01,1.784999E-01,1.206585E-01,7.873999E-02,4.885157E-02,2.966102E-02,1.755618E-02,1.002341E-02,5.510319E-03,2.673612E-03,1.174610E-03,4.634048E-04,1.590123E-04,4.576003E-05,1.026511E-05,1.506502E-06
22.95749,40.59961,0.00000,9.351436E-01,9.007427E-01,8.509928E-01,7.898728E-01,7.165670E-01,6.319237E-01,5.388762E-01,4.417450E-01,3.462746E-01,2.545877E-01,1.785038E-01,1.206605E-01,7.874039E-02,4.884396E-02,2.965588E-02,1.755185E-02,1.001919E-02,5.506086E-03,2.673648E-03,1.174618E-03,4.634061E-04,1.590100E-04,4.575876E-05,1.026418E-05,1.506201E-06
22.95730,40.59943,0.00000,9.351540E-01,9.007498E-01,8.510026E-01,7.898798E-01,7.165714E-01,6.319246E-01,5.388731E-01,4.417379E-01,3.462639E-01,2.546000E-01,1.785123E-01,1.206657E-01,7.874332E-02,4.883653E-02,2.965063E-02,1.754720E-02,1.001432E-02,5.501098E-03,2.673840E-03,1.174713E-03,4.634517E-04,1.590311E-04,4.576688E-05,1.026700E-05,1.506788E-06
22.95719,40.59923,0.00000,9.351651E-01,9.007596E-01,8.510156E-01,7.898915E-01,7.165825E-01,6.319336E-01,5.388784E-01,4.417381E-01,3.462595E-01,2.546168E-01,1.785239E-01,1.206734E-01,7.874390E-02,4.883098E-02,2.964638E-02,1.754305E-02,1.000973E-02,5.496250E-03,2.674161E-03,1.174885E-03,4.635379E-04,1.590746E-04,4.578356E-05,1.027336E-05,1.508236E-06
22.95714,40.59900,0.00000,9.351776E-01,9.007710E-01,8.510314E-01,7.899068E-01,7.165978E-01,6.319465E-01,5.388883E-01,4.417439E-01,3.462610E-01,2.546374E-01,1.785389E-01,1.206840E-01,7.874308E-02,4.882625E-02,2.964276E-02,1.753905E-02,1.000506E-02,5.491179E-03,2.674616E-03,1.175131E-03,4.636651E-04,1.591393E-04,4.580857E-05,1.028315E-05,1.510507E-06
22.95715,40.59892,0.00000,9.351819E-01,9.007752E-01,8.510372E-01,7.899127E-01,7.166038E-01,6.319525E-01,5.388932E-01,4.417476E-01,3.462631E-01,2.546450E-01,1.785448E-01,1.206884E-01,7.874604E-02,4.882528E-02,2.964186E-02,1.753792E-02,1.000365E-02,5.489610E-03,2.674801E-03,1.175235E-03,4.637189E-04,1.591670E-04,4.581936E-05,1.028745E-05,1.511516E-06
22.95718,40.59878,0.00000,9.351892E-01,9.007825E-01,8.510472E-01,7.899233E-01,7.166153E-01,6.319634E-01,5.389026E-01,4.417556E-01,3.462685E-01,2.546588E-01,1.785554E-01,1.206961E-01,7.875136E-02,4.882401E-02,2.964052E-02,1.753613E-02,1.000124E-02,5.486936E-03,2.675145E-03,1.175425E-03,4.638170E-04,1.592181E-04,4.583921E-05,1.029538E-05,1.513383E-06
22.95728,40.59857,0.00000,9.352002E-01,9.007937E-01,8.510637E-01,7.899410E-01,7.166339E-01,6.319823E-01,5.389199E-01,4.417703E-01,3.462799E-01,2.546802E-01,1.785725E-01,1.207089E-01,7.876040E-02,4.882319E-02,2.963944E-02,1.753394E-02,9.998084E-03,5.483282E-03,2.675718E-03,1.175746E-03,4.639837E-04,1.593055E-04,4.587325E-05,1.030908E-05,1.516634E-06
